Id,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,MasVnrArea,Foundation,BsmtQual,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,GarageArea,MoSold,YrSold,SaleType,SalePrice
32,8544,CulDSac,Sawyer,1Fam,1Story,5,6,1966,Gable,0,CBlock,TA,1228,GasA,1228,0,1,1,3,1,0,1,271,6,2008,WD,149350
33,11049,Corner,CollgCr,1Fam,1Story,8,5,2007,Gable,0,PConc,Ex,1234,GasA,1234,0,2,0,3,1,0,2,484,1,2008,WD,179900
34,10552,Inside,NAmes,1Fam,1Story,5,5,1959,Hip,0,CBlock,TA,1398,GasA,1700,0,1,1,4,1,1,2,447,4,2010,WD,165500
35,7313,Inside,NridgHt,TwnhsE,1Story,9,5,2005,Hip,246,PConc,Ex,1561,GasA,1561,0,2,0,2,1,1,2,556,8,2007,WD,277500
36,13418,Inside,NridgHt,1Fam,2Story,8,5,2004,Gable,132,PConc,Ex,1117,GasA,1132,1320,3,1,4,1,1,3,691,9,2006,WD,309000
37,10859,Corner,CollgCr,1Fam,1Story,5,5,1994,Gable,0,PConc,Gd,1097,GasA,1097,0,1,1,3,1,0,2,672,6,2009,WD,145000
38,8532,Inside,NAmes,1Fam,1Story,5,6,1954,Hip,650,CBlock,TA,1297,GasA,1297,0,1,0,3,1,1,2,498,10,2009,WD,153000
39,7922,Inside,NAmes,1Fam,1Story,5,7,1953,Gable,0,CBlock,TA,1057,GasA,1057,0,1,0,3,1,0,1,246,1,2010,WD,109000
40,6040,Inside,Edwards,Duplex,1Story,4,5,1955,Gable,0,PConc,,0,GasA,1152,0,2,0,2,2,0,0,0,6,2008,WD,82000
41,8658,Inside,NAmes,1Fam,1Story,6,5,1965,Gable,101,CBlock,TA,1088,GasA,1324,0,2,0,3,1,1,2,440,12,2006,WD,160000
42,16905,Inside,Timber,1Fam,1Story,5,6,1959,Gable,0,CBlock,TA,1350,GasA,1328,0,1,1,2,1,2,1,308,7,2007,WD,170000
43,9180,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983,Gable,0,CBlock,Gd,840,GasA,884,0,1,0,2,1,0,2,504,12,2007,WD,144000
44,9200,CulDSac,CollgCr,1Fam,1Story,5,6,1975,Hip,0,CBlock,Gd,938,GasA,938,0,1,0,3,1,0,1,308,7,2008,WD,130250
45,7945,Inside,NAmes,1Fam,1Story,5,6,1959,Gable,0,CBlock,TA,1150,GasA,1150,0,1,0,3,1,0,1,300,5,2006,WD,141000
46,7658,Inside,NridgHt,TwnhsE,1Story,9,5,2005,Hip,412,PConc,Ex,1752,GasA,1752,0,2,0,2,1,1,2,576,2,2010,WD,319900
47,12822,CulDSac,Mitchel,1Fam,1.5Fin,7,5,2003,Gable,0,PConc,Ex,1434,GasA,1518,631,1,1,1,1,1,2,670,8,2009,WD,239686
48,11096,Inside,Somerst,1Fam,1Story,8,5,2006,Gable,0,PConc,Gd,1656,GasA,1656,0,2,0,3,1,0,3,826,7,2007,WD,249700
49,4456,Inside,OldTown,2fmCon,2Story,4,5,1920,Gable,0,BrkTil,TA,736,GasA,736,716,2,0,2,3,0,0,0,6,2009,New,113000
50,7742,Inside,Sawyer,1Fam,1Story,5,7,1966,Gable,0,CBlock,TA,955,GasA,955,0,1,0,3,1,0,1,386,1,2007,WD,127000
51,13869,Corner,Gilbert,1Fam,2Story,6,6,1997,Gable,0,PConc,Gd,794,GasA,794,676,2,0,3,1,0,2,388,7,2007,WD,177000
52,6240,Inside,BrkSide,1Fam,1.5Fin,6,6,1934,Gable,0,PConc,TA,816,GasA,816,0,1,0,3,1,1,2,528,9,2006,WD,114500
53,8472,Corner,IDOTRR,Duplex,1Story,5,5,1963,Gable,0,CBlock,Gd,816,GasA,816,0,1,0,2,1,0,2,516,5,2010,WD,110000
54,50271,Inside,Veenker,1Fam,1Story,9,5,1981,Gable,0,CBlock,Ex,1842,GasA,1842,0,0,1,0,1,1,3,894,11,2006,WD,385000
55,7134,Inside,NAmes,1Fam,SLvl,5,5,1955,Gable,0,CBlock,TA,384,GasA,1360,0,1,0,3,1,1,2,572,2,2007,WD,130000
56,10175,Inside,NAmes,1Fam,1Story,6,5,1964,Gable,272,CBlock,TA,1425,GasA,1425,0,2,0,3,1,1,2,576,7,2008,WD,180500
57,2645,Inside,Somerst,Twnhs,2Story,8,5,1999,Gable,456,PConc,Gd,970,GasA,983,756,2,1,3,1,0,2,480,8,2009,WD,172500
58,11645,Corner,CollgCr,1Fam,2Story,7,5,2004,Gable,0,PConc,Gd,860,GasA,860,860,2,1,3,1,0,2,565,8,2006,WD,196500
59,13682,CulDSac,StoneBr,1Fam,2Story,10,5,2006,Hip,1031,PConc,Ex,1410,GasA,1426,1519,3,1,3,1,1,3,641,10,2006,New,438780
60,7200,Inside,CollgCr,1Fam,1Story,5,7,1972,Gable,0,CBlock,TA,780,GasA,780,0,1,0,2,1,0,1,352,1,2008,WD,124900
61,13072,Inside,SawyerW,1Fam,1Story,6,5,2004,Gable,0,PConc,Gd,1158,GasA,1158,0,1,1,3,1,0,2,576,5,2006,New,158000
62,7200,Inside,IDOTRR,1Fam,2.5Unf,5,7,1920,Gable,0,BrkTil,TA,530,GasA,581,530,1,0,3,1,0,1,288,3,2007,WD,101000
63,6442,Inside,NridgHt,TwnhsE,1Story,8,5,2006,Gable,178,PConc,Gd,1370,GasA,1370,0,2,0,2,1,1,2,484,10,2007,WD,202500
64,10300,Inside,OldTown,1Fam,2Story,7,6,1921,Gable,0,BrkTil,TA,576,GasA,902,808,2,0,3,1,0,2,480,4,2010,WD,140000
65,9375,Inside,CollgCr,1Fam,2Story,7,5,1997,Gable,573,PConc,Gd,1057,GasA,1057,977,2,1,3,1,0,2,645,2,2009,WD,219500
66,9591,Inside,NridgHt,1Fam,2Story,8,5,2004,Gable,344,PConc,Ex,1143,GasA,1143,1330,2,1,4,1,1,3,852,10,2007,WD,317000
67,19900,Inside,NAmes,1Fam,1Story,7,5,1970,Gable,287,CBlock,Gd,1947,GasA,2207,0,2,0,3,1,1,2,576,7,2010,WD,180000
68,10665,Inside,CollgCr,1Fam,1Story,7,5,2003,Gable,167,PConc,Gd,1453,GasA,1479,0,2,0,3,1,0,2,558,6,2007,WD,226000
69,4608,Corner,OldTown,1Fam,1Story,4,6,1945,Gable,0,CBlock,TA,747,GasA,747,0,1,0,2,1,0,1,220,6,2010,WD,80000
70,15593,Corner,ClearCr,1Fam,1.5Fin,7,4,1953,Gable,0,CBlock,TA,1304,GasW,1304,983,2,0,3,1,1,2,667,7,2006,WD,225000
71,13651,Inside,NAmes,1Fam,1Story,7,6,1973,Gable,1115,CBlock,Gd,2223,GasA,2223,0,2,0,3,1,2,2,516,2,2007,WD,244000
72,7599,Corner,Mitchel,1Fam,1Story,4,6,1982,Gable,0,CBlock,TA,845,GasA,845,0,1,0,2,1,0,2,360,6,2007,WD,129500
73,10141,Corner,Gilbert,1Fam,2Story,7,5,1998,Gable,40,PConc,Gd,832,GasA,885,833,2,1,3,1,1,2,427,12,2009,WD,185000
74,10200,Inside,NAmes,1Fam,1Story,5,7,1954,Gable,104,CBlock,TA,1086,GasA,1086,0,1,0,3,1,0,2,490,5,2010,WD,144900
75,5790,Corner,OldTown,1Fam,2Story,3,6,1915,Gambrel,0,CBlock,Fa,840,GasA,840,765,2,0,3,2,0,1,379,5,2010,WD,107400
76,1596,Inside,MeadowV,Twnhs,SLvl,4,5,1973,Gable,0,CBlock,Gd,462,GasA,526,462,1,0,2,1,0,1,297,11,2009,WD,91000
77,8475,Inside,NAmes,1Fam,1Story,4,7,1956,Gable,0,CBlock,TA,952,GasA,952,0,1,0,2,1,0,1,283,4,2008,WD,135750
78,8635,Inside,BrkSide,1Fam,1.5Fin,5,5,1948,Gable,0,CBlock,TA,672,GasA,1072,213,1,0,2,1,0,1,240,1,2008,WD,127000
79,10778,Inside,Sawyer,Duplex,1Story,4,5,1968,Hip,0,CBlock,TA,1768,GasA,1768,0,2,0,4,2,0,0,0,4,2010,WD,136500
80,10440,Corner,OldTown,1Fam,2Story,5,6,1910,Gable,0,PConc,TA,440,GasA,682,548,1,1,2,1,0,2,440,5,2009,WD,110000
81,13000,Corner,NAmes,1Fam,2Story,6,6,1968,Gable,576,CBlock,Gd,896,GasA,1182,960,2,1,4,1,1,1,509,6,2009,WD,193500
82,4500,FR2,Mitchel,TwnhsE,1Story,6,5,1998,Hip,443,PConc,Ex,1237,GasA,1337,0,2,0,2,1,0,2,405,3,2006,WD,153500
83,10206,Inside,Somerst,1Fam,1Story,8,5,2007,Gable,468,PConc,Gd,1563,GasA,1563,0,2,0,3,1,1,3,758,10,2008,WD,245000
84,8892,Inside,NAmes,1Fam,1Story,5,5,1960,Gable,66,CBlock,TA,1065,GasA,1065,0,1,1,3,1,0,2,461,7,2007,COD,126500
85,8530,Inside,Gilbert,1Fam,SLvl,7,5,1995,Gable,22,PConc,Gd,384,GasA,804,670,2,1,3,1,1,2,400,5,2009,WD,168500
86,16059,Corner,NoRidge,1Fam,2Story,8,5,1991,Hip,284,CBlock,Gd,1288,GasA,1301,1116,2,1,4,1,1,2,462,4,2006,WD,260000
87,11911,Inside,Gilbert,1Fam,2Story,6,5,2005,Gable,0,PConc,Gd,684,GasA,684,876,2,1,3,1,1,2,400,3,2009,WD,174000
88,3951,Corner,Somerst,TwnhsE,2Story,6,5,2009,Gable,76,PConc,Gd,612,GasA,612,612,2,1,2,1,0,2,528,6,2009,New,164500
89,8470,Corner,IDOTRR,1Fam,1.5Fin,3,2,1915,Hip,0,CBlock,TA,1013,GasA,1013,0,1,0,2,1,0,0,0,10,2009,ConLD,85000
90,8070,Inside,CollgCr,1Fam,1Story,4,5,1994,Gable,0,PConc,Gd,990,GasA,990,0,1,0,3,1,0,0,0,8,2007,WD,123600
91,7200,Inside,NAmes,1Fam,1Story,4,5,1950,Gable,0,Slab,,0,GasA,1040,0,1,0,2,1,0,2,420,7,2006,WD,109900
92,8500,Inside,NAmes,1Fam,1Story,5,3,1961,Hip,203,CBlock,TA,1235,GasA,1235,0,1,0,2,1,0,2,480,12,2006,WD,98600
93,13360,Inside,Crawfor,1Fam,1Story,5,7,1921,Gable,0,BrkTil,Gd,876,GasA,964,0,1,0,2,1,0,2,432,8,2009,WD,163500
94,7200,Corner,OldTown,2fmCon,2.5Unf,6,6,1910,Hip,0,BrkTil,TA,1214,GasW,1260,1031,2,0,4,2,1,2,506,11,2007,WD,133900
95,9337,Inside,CollgCr,1Fam,2Story,6,5,1997,Gable,0,PConc,Gd,824,GasA,905,881,2,1,3,1,0,2,684,5,2007,WD,204750
96,9765,Corner,Gilbert,1Fam,2Story,6,8,1993,Gable,68,PConc,Gd,680,GasA,680,790,2,1,3,1,1,2,420,4,2009,WD,185000
97,10264,Inside,CollgCr,1Fam,1Story,7,5,1999,Gable,183,PConc,Gd,1588,GasA,1588,0,2,0,3,1,0,2,472,8,2006,WD,214000
98,10921,Inside,Edwards,1Fam,1Story,4,5,1965,Hip,48,CBlock,TA,960,GasA,960,0,1,0,3,1,0,1,432,5,2007,WD,94750
99,10625,Corner,Edwards,1Fam,1Story,5,5,1920,Gable,0,BrkTil,TA,458,GasA,835,0,1,0,2,1,0,1,366,5,2010,COD,83000
100,9320,Inside,NAmes,1Fam,1Story,4,5,1959,Gable,0,CBlock,TA,950,GasA,1225,0,1,1,3,1,0,0,0,1,2010,WD,128950
101,10603,Inside,NWAmes,1Fam,1Story,6,7,1977,Gable,28,PConc,TA,1610,GasA,1610,0,2,0,3,1,2,2,480,2,2010,WD,205000
102,9206,Inside,SawyerW,1Fam,2Story,6,5,1985,Gable,336,CBlock,Gd,741,GasA,977,755,2,1,3,1,1,2,476,6,2010,WD,178000
103,7018,Inside,SawyerW,Duplex,1Story,5,5,1979,Gable,0,Slab,,0,GasA,1535,0,2,0,4,2,0,2,410,6,2009,WD,118964
104,10402,Corner,CollgCr,1Fam,1Story,7,5,2009,Gable,0,PConc,Gd,1226,GasA,1226,0,2,0,3,1,0,3,740,5,2010,WD,198900
105,7758,Corner,IDOTRR,1Fam,1.5Fin,7,4,1931,Gable,600,PConc,TA,1040,GasA,1226,592,1,1,4,1,2,1,240,6,2007,WD,169500
106,9375,Inside,Somerst,1Fam,2Story,8,5,2003,Hip,768,PConc,Ex,1053,GasA,1053,939,2,1,3,1,1,2,648,8,2008,WD,250000
107,10800,Inside,OldTown,1Fam,1Story,4,7,1885,Mansard,0,BrkTil,Fa,641,GasA,1047,0,1,0,2,1,0,1,273,8,2007,WD,100000
108,6000,Inside,OldTown,1Fam,1Story,5,5,1948,Gable,0,CBlock,TA,789,GasA,789,0,1,0,2,1,0,1,250,4,2008,WD,115000
109,8500,Corner,IDOTRR,1Fam,1.5Fin,5,7,1919,Gable,0,CBlock,TA,793,GasW,997,520,2,0,3,1,0,0,0,8,2007,WD,115000
110,11751,Inside,NWAmes,1Fam,1Story,6,6,1977,Hip,480,CBlock,Gd,1844,GasA,1844,0,2,0,3,1,1,2,546,1,2010,COD,190000
111,9525,Inside,Edwards,1Fam,1.5Fin,6,4,1954,Gable,0,CBlock,TA,994,GasA,1216,639,2,0,4,1,0,1,325,10,2006,WD,136900
112,7750,Inside,Gilbert,1Fam,SLvl,7,5,2000,Gable,0,PConc,Gd,384,GasA,774,656,2,1,3,1,1,2,400,4,2010,WD,180000
113,9965,Inside,CollgCr,1Fam,2Story,7,5,2007,Gable,220,PConc,Ex,1264,GasA,1282,1414,2,1,4,1,1,3,792,10,2007,New,383970
114,21000,Corner,Crawfor,1Fam,1Story,6,5,1953,Hip,184,CBlock,Gd,1809,GasA,2259,0,2,0,3,1,2,2,450,10,2007,COD,217000
115,7259,Inside,Crawfor,1Fam,2Story,6,8,1945,Gambrel,0,CBlock,TA,1028,GasA,1436,884,2,1,3,1,1,1,180,7,2007,WD,259500
116,3230,Corner,Somerst,TwnhsE,2Story,6,5,1999,Gable,1129,PConc,Gd,729,GasA,729,729,2,1,2,1,1,2,440,6,2007,WD,176000
117,11616,Inside,Sawyer,1Fam,1Story,5,5,1962,Gable,116,CBlock,TA,1092,GasA,1092,0,1,0,3,1,1,1,288,9,2009,WD,139000
118,8536,Corner,Edwards,1Fam,1Story,5,5,2006,Gable,0,PConc,Gd,1125,GasA,1125,0,1,1,2,1,0,2,430,4,2007,New,155000
119,12376,Corner,SawyerW,1Fam,2Story,7,5,1990,Hip,0,PConc,Gd,1673,GasA,1699,1523,3,0,5,1,2,3,594,5,2010,WD,320000
120,8461,Inside,CollgCr,1Fam,2Story,6,5,2005,Gable,0,PConc,Gd,728,GasA,728,728,2,1,3,1,1,2,390,7,2006,New,163990
121,21453,CulDSac,ClearCr,1Fam,SLvl,6,5,1969,Flat,0,CBlock,TA,938,GasA,988,0,1,0,1,1,2,2,540,10,2006,WD,180000
122,6060,Inside,IDOTRR,1Fam,1.5Fin,4,5,1939,Gable,0,PConc,TA,732,GasA,772,351,1,0,3,1,0,1,264,6,2007,WD,100000
123,9464,Corner,NAmes,1Fam,1Story,6,7,1958,Hip,135,CBlock,TA,1080,GasA,1080,0,1,0,3,1,0,1,288,6,2008,WD,136000
124,7892,Inside,SawyerW,TwnhsE,1Story,6,5,1993,Gable,0,PConc,Gd,1199,GasA,1199,0,2,0,2,1,0,2,530,3,2008,WD,153900
125,17043,CulDSac,NWAmes,1Fam,1Story,6,5,1979,Gable,0,CBlock,Gd,1362,GasA,1586,0,2,0,3,1,1,2,435,1,2009,WD,181000
126,6780,Inside,IDOTRR,2fmCon,1.5Fin,6,8,1935,Gable,0,CBlock,TA,520,GasA,520,0,1,0,2,1,0,0,0,6,2006,WD,84500
127,4928,Inside,NPkVill,TwnhsE,1Story,6,5,1976,Gable,0,CBlock,Gd,1078,GasA,958,0,2,0,2,1,1,2,440,2,2007,WD,128000
128,4388,Inside,OldTown,1Fam,1.5Unf,5,7,1930,Gable,0,BrkTil,TA,672,GasA,840,0,1,0,3,1,1,0,0,6,2007,WD,87000
129,7590,Inside,NAmes,1Fam,2Story,6,5,1966,Gable,266,CBlock,TA,660,GasA,660,688,1,1,3,1,1,2,453,7,2006,WD,155000
130,8973,Inside,NAmes,1Fam,1Story,5,7,1958,Gable,85,CBlock,TA,1008,GasA,1053,0,1,1,3,1,0,2,750,7,2006,WD,150000
131,14200,Corner,NAmes,1Fam,2Story,7,6,1966,Gable,309,CBlock,TA,924,GasA,1216,941,2,1,4,1,2,2,487,5,2006,WD,226000
132,12224,Corner,Gilbert,1Fam,2Story,6,5,2000,Gable,40,PConc,Gd,992,GasA,1022,1032,2,1,3,1,1,2,390,7,2009,WD,244000
133,7388,Corner,NAmes,1Fam,1Story,5,6,1959,Gable,0,CBlock,TA,1063,GasA,1327,0,1,0,3,1,0,2,624,7,2007,WD,150750
134,6853,Inside,Timber,1Fam,1Story,8,5,2001,Gable,136,PConc,Ex,1267,GasA,1296,0,2,0,2,1,0,2,471,6,2009,WD,220000
135,10335,Inside,Sawyer,1Fam,1Story,5,6,1968,Gable,0,CBlock,TA,1461,GasA,1721,0,2,1,3,1,1,2,440,7,2006,WD,180000
136,10400,Inside,NWAmes,1Fam,1Story,7,6,1970,Hip,288,PConc,TA,1304,GasA,1682,0,2,0,3,1,1,2,530,5,2008,WD,174000
137,10355,Corner,NAmes,1Fam,1Story,5,5,1967,Gable,196,CBlock,TA,1214,GasA,1214,0,2,0,3,1,1,1,318,7,2007,WD,143000
138,11070,Inside,Mitchel,Duplex,1Story,7,5,1988,Gable,70,CBlock,TA,1907,GasA,1959,0,3,0,5,2,0,3,766,7,2006,WD,171000
139,9066,Inside,CollgCr,1Fam,2Story,8,5,1999,Gable,320,PConc,Gd,1004,GasA,1004,848,2,1,3,1,2,3,660,12,2008,WD,230000
140,15426,Inside,CollgCr,1Fam,2Story,6,5,1997,Gable,0,PConc,Gd,928,GasA,928,836,2,1,3,1,0,2,470,8,2009,WD,231500
141,10500,FR2,NAmes,1Fam,1Story,4,5,1971,Gable,0,CBlock,TA,864,GasA,864,0,1,0,3,1,1,0,0,4,2010,ConLI,115000
142,11645,Inside,CollgCr,1Fam,1Story,7,5,2005,Gable,0,PConc,Gd,1734,GasA,1734,0,2,0,3,1,0,2,660,1,2006,WD,260000
143,8520,Corner,NAmes,1Fam,1.5Fin,5,4,1952,Gable,0,CBlock,TA,910,GasA,910,475,2,0,4,1,0,2,720,6,2010,WD,166000
144,10335,Inside,CollgCr,1Fam,1Story,7,5,1999,Gable,183,PConc,Gd,1490,GasA,1501,0,2,0,3,1,0,2,577,6,2009,WD,204000
145,9100,Inside,Sawyer,Duplex,1Story,5,5,1963,Gable,336,CBlock,TA,1728,GasA,1728,0,2,0,6,2,0,2,504,11,2006,ConLI,125000
146,2522,Inside,Edwards,Twnhs,2Story,6,5,2004,Gable,50,PConc,Gd,970,GasA,970,739,2,0,3,1,0,2,380,4,2006,WD,130000
147,6120,Corner,BrkSide,1Fam,1Story,5,7,1931,Gable,0,BrkTil,TA,715,GasA,875,0,1,0,2,1,0,1,180,11,2009,WD,105000
148,9505,CulDSac,Gilbert,1Fam,2Story,7,5,2001,Gable,180,PConc,Gd,884,GasA,884,1151,2,1,3,1,1,2,434,5,2010,WD,222500
149,7500,Inside,SawyerW,1Fam,1Story,7,5,2004,Gable,120,PConc,Gd,1080,GasA,1080,0,1,0,3,1,0,0,0,4,2008,WD,141000
150,6240,Inside,BrkSide,1Fam,1.5Fin,5,4,1936,Gable,0,BrkTil,Gd,896,GasA,896,448,1,0,3,1,0,1,240,4,2006,WD,115000
151,10356,Corner,CollgCr,1Fam,1Story,5,6,1975,Gable,0,CBlock,TA,969,GasA,969,0,1,1,3,1,0,2,440,1,2007,WD,122000
152,13891,Inside,NridgHt,1Fam,1Story,8,5,2007,Hip,436,PConc,Ex,1710,GasA,1710,0,2,0,2,1,1,3,866,1,2008,New,372402
153,14803,CulDSac,NWAmes,1Fam,2Story,6,5,1971,Gable,252,CBlock,TA,825,GasA,1097,896,2,1,4,1,1,2,495,6,2006,WD,190000
154,13500,Inside,ClearCr,1Fam,1Story,6,7,1960,Flat,0,CBlock,Gd,1602,GasA,1252,0,1,0,1,1,1,2,564,3,2008,WD,235000
155,11340,Corner,OldTown,1Fam,1Story,6,5,1923,Gable,0,BrkTil,TA,1200,GasA,1200,0,1,0,4,1,0,1,312,3,2006,WD,125000
156,9600,Corner,Edwards,1Fam,1.5Fin,6,5,1924,Gable,0,BrkTil,TA,572,Grav,572,524,1,0,2,1,0,0,0,4,2008,WD,79000
157,7200,Inside,NAmes,1Fam,1Story,5,7,1950,Hip,0,CBlock,,0,GasA,1040,0,1,0,2,1,0,2,625,6,2006,WD,109500
158,12003,Corner,Timber,1Fam,2Story,8,5,2009,Gable,84,PConc,Ex,774,GasA,774,1194,2,1,4,1,1,3,680,5,2010,New,269500
159,12552,Corner,Somerst,1Fam,2Story,7,5,2004,Gable,0,PConc,Gd,991,GasA,991,956,2,1,3,1,1,2,678,5,2010,WD,254900
160,19378,Corner,Gilbert,1Fam,2Story,7,5,2005,Gable,456,PConc,Gd,1392,GasA,1392,1070,2,1,4,1,1,2,576,3,2006,New,320000
161,11120,CulDSac,Veenker,1Fam,1Story,6,6,1984,Gable,0,PConc,Gd,1232,GasA,1232,0,2,0,3,1,0,2,516,6,2008,WD,162500
162,13688,Inside,NridgHt,1Fam,2Story,9,5,2003,Gable,664,PConc,Ex,1572,GasA,1572,1096,2,1,3,1,2,3,726,3,2008,WD,412500
163,12182,Corner,NridgHt,1Fam,1Story,7,5,2005,Gable,226,PConc,Gd,1541,GasA,1541,0,2,0,3,1,1,2,532,5,2010,New,220000
164,5500,Inside,OldTown,1Fam,1.5Unf,4,6,1956,Gable,0,CBlock,TA,882,GasA,882,0,1,0,1,1,0,0,0,4,2007,WD,103200
165,5400,Corner,OldTown,1Fam,1Story,6,7,1926,Gable,0,BrkTil,TA,1149,GasA,1149,467,2,0,3,1,0,1,216,10,2007,WD,152000
166,10106,Inside,Edwards,2fmCon,1.5Fin,5,7,1940,Gable,0,BrkTil,TA,644,GasA,808,547,2,0,4,2,0,0,0,9,2008,WD,127500
